epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.85377,1.26531,3.23716,1.27062,0.01311,1,0.43019,0.25928,0.96291,2.89785,1.07213,0.00014,0.00014,0.00014
2,2.62951,1.14518,2.23531,1.10177,0.94852,0.66102,0.90344,0.59809,0.98559,2.21205,0.95539,0.00029703,0.00029703,0.00029703
3,3.51365,1.06106,1.43793,1.07679,0.90843,0.54237,0.74713,0.49181,1.03501,2.1244,1.02714,0.000450892,0.000450892,0.000450892
4,5.16505,0.98701,1.15765,1.0244,1,0.38016,0.8975,0.63618,0.91778,2.20549,0.94117,0.000601586,0.000601586,0.000601586
5,6.03395,1.00964,1.12928,1.0171,0.01311,1,0.90364,0.64133,0.96643,2.36089,0.95196,0.000749112,0.000749112,0.000749112
6,11.1796,0.93342,1.00328,1.00196,1,0.39746,0.94705,0.67362,0.83537,2.0588,0.96514,0.00089347,0.00089347,0.00089347
7,13.5288,0.96198,0.95453,1.04101,1,0.42304,0.94633,0.66133,0.85686,2.11467,0.99997,0.00103466,0.00103466,0.00103466
8,16.3135,0.96698,0.91004,1.06447,0.98237,0.94439,0.98899,0.7545,0.88743,1.52026,1.0367,0.00117268,0.00117268,0.00117268
9,18.7881,0.97408,0.98924,1.09454,1,0.98301,0.98635,0.76706,0.85065,1.54393,1.01232,0.00130754,0.00130754,0.00130754
10,20.6428,0.97631,1.00084,1.07934,0.99221,0.9661,0.99194,0.76698,0.90234,1.19824,1.03641,0.00143922,0.00143922,0.00143922
11,21.5433,0.92504,0.79863,0.99351,1,0.9636,0.99368,0.79739,0.79854,1.02253,0.99274,0.00156774,0.00156774,0.00156774
12,22.3543,0.91594,0.83269,1.01185,0.97624,0.98305,0.99326,0.78319,0.82146,0.94634,1.01659,0.00169309,0.00169309,0.00169309
13,23.6917,0.92286,0.83139,1.01839,0.99371,0.98305,0.99394,0.79039,0.79524,0.9263,0.99669,0.0017624,0.0017624,0.0017624
14,25.1222,0.91186,0.81676,1.02574,0.9996,0.98305,0.99467,0.80126,0.7655,0.76849,0.96556,0.0017426,0.0017426,0.0017426
15,26.1989,0.9642,0.90912,1.04738,1,0.98819,0.995,0.76353,0.83993,0.78023,1.00874,0.0017228,0.0017228,0.0017228
16,27.5171,0.96966,0.85829,1.07934,0.99638,1,0.995,0.79428,0.81136,0.71545,0.98344,0.001703,0.001703,0.001703
17,28.3917,0.92168,0.81737,1.03739,0.99893,1,0.995,0.80469,0.77784,0.67508,0.95571,0.0016832,0.0016832,0.0016832
18,29.2729,0.93276,0.76384,1.05115,0.9981,1,0.995,0.81932,0.73763,0.69326,0.946,0.0016634,0.0016634,0.0016634
19,30.247,0.8987,0.77171,1.04226,0.99785,1,0.995,0.83587,0.71171,0.68276,0.92671,0.0016436,0.0016436,0.0016436
20,31.23,0.88481,0.7447,1.00108,0.99907,1,0.995,0.82019,0.72037,0.61367,0.92327,0.0016238,0.0016238,0.0016238
21,32.4042,0.86559,0.70419,1.00523,0.9972,1,0.995,0.82902,0.70266,0.57604,0.92394,0.001604,0.001604,0.001604
22,33.2047,0.89941,0.70388,1.01002,0.98152,1,0.99083,0.81622,0.72298,0.59261,0.93885,0.0015842,0.0015842,0.0015842
23,33.946,0.87187,0.71575,1.03997,0.98158,1,0.99283,0.81117,0.74731,0.5788,0.95715,0.0015644,0.0015644,0.0015644
24,34.992,0.87067,0.67828,0.98344,0.99623,1,0.995,0.80352,0.75024,0.5398,0.96448,0.0015446,0.0015446,0.0015446
25,36.0174,0.8936,0.7025,1.05405,0.99786,0.98305,0.99483,0.80666,0.76664,0.54211,0.96576,0.0015248,0.0015248,0.0015248
26,36.9074,0.87429,0.66643,1.01104,0.99389,0.98305,0.99467,0.79067,0.79095,0.58526,0.95861,0.001505,0.001505,0.001505
27,37.795,0.85131,0.66499,1.00073,1,0.99602,0.995,0.80405,0.76718,0.57495,0.94747,0.0014852,0.0014852,0.0014852
28,38.5705,0.86188,0.65812,0.9955,1,0.99807,0.995,0.8036,0.74064,0.53741,0.93929,0.0014654,0.0014654,0.0014654
29,40.9858,0.8384,0.6386,1.00782,0.98236,1,0.995,0.80233,0.74012,0.5368,0.93796,0.0014456,0.0014456,0.0014456
30,41.8673,0.84935,0.69898,1.01857,0.98247,0.98305,0.99045,0.79641,0.74755,0.55499,0.94071,0.0014258,0.0014258,0.0014258
31,43.3265,0.82446,0.62252,1.01525,0.95,1,0.99126,0.80192,0.74279,0.5563,0.94405,0.001406,0.001406,0.001406
32,44.1507,0.85049,0.63226,0.98802,0.94879,1,0.99217,0.8013,0.74929,0.54744,0.945,0.0013862,0.0013862,0.0013862
33,45.1115,0.79808,0.62421,0.98047,0.95143,0.99607,0.99147,0.80288,0.76173,0.5311,0.95087,0.0013664,0.0013664,0.0013664
34,45.9391,0.78864,0.62397,1.0088,0.98305,0.98296,0.99369,0.80577,0.74522,0.51638,0.95387,0.0013466,0.0013466,0.0013466
35,47.1583,0.84569,0.61684,0.99936,0.98103,1,0.99483,0.81181,0.74663,0.52534,0.96039,0.0013268,0.0013268,0.0013268
36,47.9756,0.84074,0.63251,1.00709,1,0.99971,0.995,0.81247,0.74117,0.52842,0.95304,0.001307,0.001307,0.001307
37,48.8491,0.80516,0.57795,0.98448,1,0.99985,0.995,0.80672,0.7253,0.50571,0.92769,0.0012872,0.0012872,0.0012872
38,49.8786,0.82812,0.56887,0.97964,0.99892,1,0.995,0.79387,0.78143,0.45617,0.9478,0.0012674,0.0012674,0.0012674
39,50.754,0.84086,0.56031,0.99938,0.9978,1,0.995,0.80933,0.76059,0.45584,0.94335,0.0012476,0.0012476,0.0012476
